1, 10, 1000000, 32286887, 473.29, 68218.32
1, 20, 1000000, 73706028, 914.14, 80628.88
1, 30, 1000000, 102666852, 1371.40, 74862.93
1, 40, 1000000, 134506666, 1844.12, 72938.26
2, 10, 1000000, 45559231, 479.05, 95103.56
2, 20, 1000000, 92165227, 956.27, 96379.96
2, 30, 1000000, 152790730, 1461.10, 104572.13
2, 40, 1000000, 188831269, 1952.08, 96733.37
4, 10, 1000000, 64741292, 516.46, 125355.59
4, 20, 1000000, 150058159, 1014.46, 147919.59
4, 30, 1000000, 231492258, 1520.77, 152220.38
4, 40, 1000000, 310725102, 1994.10, 155822.01
8, 10, 1000000, 79088718, 537.66, 147096.80
8, 20, 1000000, 162775113, 1087.80, 149637.20
8, 30, 1000000, 227807494, 1612.16, 141305.80
8, 40, 1000000, 341570421, 2140.22, 159596.02
16, 10, 1000000, 60689810, 574.27, 105681.34
16, 20, 1000000, 118307412, 1167.24, 101356.54
16, 30, 1000000, 174896378, 1761.62, 99281.50
16, 40, 1000000, 244362368, 2285.18, 106933.35
32, 10, 1000000, 67229810, 582.19, 115478.26
32, 20, 1000000, 134097294, 1162.43, 115359.05
32, 30, 1000000, 200136543, 1713.74, 116783.83
32, 40, 1000000, 267242791, 2301.30, 116126.67
1, 10, 100000, 73218501, 455.60, 160708.80
1, 20, 100000, 145421358, 913.59, 159175.89
1, 30, 100000, 213216483, 1393.42, 153016.65
1, 40, 100000, 289222354, 1845.27, 156736.97
2, 10, 100000, 96761834, 479.09, 201968.41
2, 20, 100000, 225494654, 957.21, 235573.82
2, 30, 100000, 272800717, 1484.61, 183752.59
2, 40, 100000, 452155192, 1913.55, 236291.27
4, 10, 100000, 135259267, 505.29, 267685.15
4, 20, 100000, 244785929, 1015.39, 241075.72
4, 30, 100000, 363044625, 1515.40, 239569.52
4, 40, 100000, 487569934, 1999.23, 243878.41
8, 10, 100000, 76529979, 547.51, 139778.96
8, 20, 100000, 139708828, 1115.52, 125241.08
8, 30, 100000, 186115433, 1616.38, 115143.69
8, 40, 100000, 291808790, 2201.68, 132539.36
16, 10, 100000, 55369145, 571.67, 96855.33
16, 20, 100000, 108291574, 1174.09, 92234.31
16, 30, 100000, 166716161, 1742.43, 95680.47
16, 40, 100000, 223525235, 2282.75, 97919.40
32, 10, 100000, 62524559, 590.45, 105893.86
32, 20, 100000, 124725036, 1165.52, 107012.13
32, 30, 100000, 191137411, 1712.63, 111604.55
32, 40, 100000, 255897191, 2283.30, 112073.32
1, 10, 10000, 131334736, 470.99, 278850.18
1, 20, 10000, 264493373, 912.68, 289798.85
1, 30, 10000, 397697069, 1369.39, 290418.58
1, 40, 10000, 529430563, 1843.61, 287170.53
2, 10, 10000, 130907930, 479.27, 273142.09
2, 20, 10000, 345302004, 977.70, 353178.11
2, 30, 10000, 519456856, 1438.20, 361184.88
2, 40, 10000, 508643702, 1981.29, 256722.98
4, 10, 10000, 145988768, 513.71, 284185.16
4, 20, 10000, 189692693, 1006.07, 188547.97
4, 30, 10000, 516357734, 1504.86, 343125.62
4, 40, 10000, 391746082, 2040.13, 192019.91
8, 10, 10000, 74126513, 551.90, 134312.11
8, 20, 10000, 155267167, 1096.13, 141649.81
