8, 10, 1000000, 8262453, 499.06, 16556.09
8, 20, 1000000, 19580204, 1026.80, 19069.08
8, 30, 1000000, 27872024, 1498.83, 18595.80
8, 40, 1000000, 39446672, 2004.40, 19680.00
8, 10, 100000, 14946543, 495.30, 30176.68
8, 20, 100000, 33872640, -64541.47, -524.82
8, 30, 100000, 53594577, 1515.87, 35355.64
8, 40, 100000, 75702812, 2008.73, 37686.84
8, 10, 10000, 47674378, 500.06, 95338.27
8, 20, 10000, 98662480, 1003.20, 98347.44
8, 30, 10000, 147074541, 1517.87, 96895.36
8, 40, 10000, 200648994, 2009.13, 99868.48
8, 10, 1000, 88597443, 509.49, 173894.71
8, 20, 1000, 163902088, 1025.30, 159858.27
8, 30, 1000, 247515715, 1516.16, 163251.18
8, 40, 1000, 330327562, 2022.14, 163355.50
8, 10, 2000000, 6508994, 517.05, 12588.61
8, 20, 2000000, 15190127, 984.36, 15431.40
8, 30, 2000000, 24077928, 1503.63, 16013.24
8, 40, 2000000, 38216405, 1970.93, 19390.05
