8, 10, 1000000, 42680924, 503.04, 84845.95
8, 20, 1000000, 94517455, 1020.01, 92663.17
8, 30, 1000000, 148283936, 1503.39, 98633.15
8, 40, 1000000, 192095189, 1997.69, 96158.50
8, 10, 100000, 89824156, 516.98, 173746.20
8, 20, 100000, 188185634, 1002.49, 187718.40
8, 30, 100000, 292682281, 1504.31, 194563.12
8, 40, 100000, 396969744, 2031.79, 195379.55
8, 10, 10000, 143229226, 505.64, 283261.89
8, 20, 10000, 295770864, 1006.60, 293832.38
8, 30, 10000, 422736997, 1515.44, 278952.78
8, 40, 10000, 593301603, 2042.11, 290533.37
8, 10, 1000, 287483943, 511.35, 562202.17
8, 20, 1000, 577478601, 1018.60, 566933.15
8, 30, 1000, 858387715, 1537.11, 558441.34
8, 40, 1000, 1114300245, 2058.67, 541272.72
8, 10, 2000000, 33763993, 500.49, 67461.55
8, 20, 2000000, 74377436, 1019.32, 72968.00
8, 30, 2000000, 113407307, 1498.69, 75670.94
8, 40, 2000000, 154182632, 2022.52, 76233.02
