          HB_NUM          HB_RATE      X_HAT_MINUS            X_HAT          P_MINUS                H                K                P          SPEEDUP            ERROR         WORKLOAD         LOWER_ID         UPPER_ID          NUM_HBS
            1559        99.330582        94.950114        95.093877         0.000339         1.000000         0.032819         0.000328         1.000000       -49.330582         0.010516                0                0                0
            1589        99.343285        95.093877        95.232887         0.000338         1.000000         0.032713         0.000327         1.000000       -49.343285         0.010501                0                0                0
            1619        99.094849        95.232887        95.358838         0.000337         1.000000         0.032613         0.000326         1.000000       -49.094849         0.010487                0                0                0
            1649        99.340797        95.358838        95.488332         0.000336         1.000000         0.032520         0.000325         1.000000       -49.340797         0.010472                0                0                0
            1679        99.347168        95.488332        95.613485         0.000335         1.000000         0.032433         0.000324         1.000000       -49.347168         0.010459                0                0                0
            1709        99.099373        95.613485        95.726259         0.000334         1.000000         0.032351         0.000324         1.000000       -49.099373         0.010446                0                0                0
            1739        99.334457        95.726259        95.842713         0.000334         1.000000         0.032275         0.000323         1.000000       -49.334457         0.010434                0                0                0
            1769        99.340309        95.842713        95.955348         0.000333         1.000000         0.032203         0.000322         1.000000       -49.340309         0.010422                0                0                0
            1799        99.337990        95.955348        96.064054         0.000332         1.000000         0.032136         0.000321         1.000000       -49.337990         0.010410                0                0                0
            1829        99.094276        96.064054        96.161244         0.000331         1.000000         0.032074         0.000321         1.000000       -49.094276         0.010399                0                0                0
            1859        99.345558        96.161244        96.263189         0.000331         1.000000         0.032015         0.000320         1.000000       -49.345558         0.010388                0                0                0
            1889        99.345108        96.263189        96.361686         0.000330         1.000000         0.031960         0.000320         1.000000       -49.345108         0.010378                0                0                0
            1919        99.086662        96.361686        96.448634         0.000330         1.000000         0.031908         0.000319         1.000000       -49.086662         0.010368                0                0                0
            1949        99.328003        96.448634        96.540369         0.000329         1.000000         0.031859         0.000319         1.000000       -49.328003         0.010358                0                0                0
            1979        99.345551        96.540369        96.629613         0.000329         1.000000         0.031814         0.000318         1.000000       -49.345551         0.010349                0                0                0
            2009        99.080170        96.629613        96.707471         0.000328         1.000000         0.031772         0.000318         1.000000       -49.080170         0.010340                0                0                0
            2039        99.341354        96.707471        96.791049         0.000328         1.000000         0.031732         0.000317         1.000000       -49.341354         0.010332                0                0                0
            2069        99.334251        96.791049        96.871654         0.000327         1.000000         0.031694         0.000317         1.000000       -49.334251         0.010323                0                0                0
            2099        99.356560        96.871654        96.950324         0.000327         1.000000         0.031659         0.000317         1.000000       -49.356560         0.010315                0                0                0
            2129        99.094795        96.950324        97.018145         0.000327         1.000000         0.031626         0.000316         1.000000       -49.094795         0.010307                0                0                0
            2159        99.345619        97.018145        97.091683         0.000326         1.000000         0.031595         0.000316         1.000000       -49.345619         0.010300                0                0                0
            2189        99.337891        97.091683        97.162588         0.000326         1.000000         0.031567         0.000316         1.000000       -49.337891         0.010292                0                0                0
            2219        99.091942        97.162588        97.223439         0.000326         1.000000         0.031539         0.000315         1.000000       -49.091942         0.010286                0                0                0
            2249        99.344681        97.223439        97.290287         0.000325         1.000000         0.031514         0.000315         1.000000       -49.344681         0.010279                0                0                0
            2279        99.344788        97.290287        97.354984         0.000325         1.000000         0.031490         0.000315         1.000000       -49.344788         0.010272                0                0                0
            2309        99.101669        97.354984        97.409948         0.000325         1.000000         0.031468         0.000315         1.000000       -49.101669         0.010266                0                0                0
            2339        99.346298        97.409948        97.470840         0.000325         1.000000         0.031447         0.000314         1.000000       -49.346298         0.010259                0                0                0
            2369        99.346344        97.470840        97.529781         0.000324         1.000000         0.031427         0.000314         1.000000       -49.346344         0.010253                0                0                0
            2399        99.336281        97.529781        97.586520         0.000324         1.000000         0.031409         0.000314         1.000000       -49.336281         0.010247                0                0                0
            2429        99.091667        97.586520        97.633769         0.000324         1.000000         0.031391         0.000314         1.000000       -49.091667         0.010242                0                0                0
            2459        99.349075        97.633769        97.687586         0.000324         1.000000         0.031375         0.000314         1.000000       -49.349075         0.010237                0                0                0
            2489        99.333611        97.687586        97.739205         0.000324         1.000000         0.031360         0.000314         1.000000       -49.333611         0.010231                0                0                0
            2519        99.088974        97.739205        97.781514         0.000324         1.000000         0.031345         0.000313         1.000000       -49.088974         0.010227                0                0                0
            2549        99.341423        97.781514        97.830389         0.000323         1.000000         0.031332         0.000313         1.000000       -49.341423         0.010222                0                0                0
            2579        99.345421        97.830389        97.877839         0.000323         1.000000         0.031319         0.000313         1.000000       -49.345421         0.010217                0                0                0
            2609        99.078255        97.877839        97.915420         0.000323         1.000000         0.031307         0.000313         1.000000       -49.078255         0.010213                0                0                0
            2639        99.342346        97.915420        97.960078         0.000323         1.000000         0.031296         0.000313         1.000000       -49.342346         0.010208                0                0                0
            2669        99.341995        97.960078        98.003312         0.000323         1.000000         0.031286         0.000313         1.000000       -49.341995         0.010204                0                0                0
            2699        99.342987        98.003312        98.045212         0.000323         1.000000         0.031276         0.000313         1.000000       -49.342987         0.010199                0                0                0
            2729        99.092728        98.045212        98.077965         0.000323         1.000000         0.031267         0.000313         1.000000       -49.092728         0.010196                0                0                0
            2759        99.344986        98.077965        98.117570         0.000323         1.000000         0.031258         0.000313         1.000000       -49.344986         0.010192                0                0                0
            2789        99.335281        98.117570        98.155624         0.000323         1.000000         0.031250         0.000313         1.000000       -49.335281         0.010188                0                0                0
            2819        99.092590        98.155624        98.184897         0.000323         1.000000         0.031243         0.000312         1.000000       -49.092590         0.010185                0                0                0
            2849        99.347252        98.184897        98.221204         0.000322         1.000000         0.031236         0.000312         1.000000       -49.347252         0.010181                0                0                0
            2879        99.347015        98.221204        98.256362         0.000322         1.000000         0.031229         0.000312         1.000000       -49.347015         0.010177                0                0                0
            2909        99.099167        98.256362        98.282676         0.000322         1.000000         0.031223         0.000312         1.000000       -49.099167         0.010175                0                0                0
            2939        99.345085        98.282676        98.315841         0.000322         1.000000         0.031217         0.000312         1.000000       -49.345085         0.010171                0                0                0
            2969        99.345276        98.315841        98.347971         0.000322         1.000000         0.031211         0.000312         1.000000       -49.345276         0.010168                0                0                0
